__:__:__,健康とスポーツ:兼村:対面 (体育館等),電子機器設計基礎:末永:対面 (11-202 5-102),電磁気学:柏葉:対面 (11-301),第Ⅰ類実験Ⅰ:__:__
__:__:__,機構学:熊谷:対面 (5-102 11-202)
__:__:__
__:__:__,ソフトウェア工学基礎:藤原:遠隔
__:__:__,電子機器設計基礎:末永:対面 (11-202 5-102),電子機器設計基礎:末永:対面 (11-202 5-102)
