[選] 法学憲法:高橋(勇):遠隔,電子回路:今井:遠隔,線形代数:長谷部:遠隔
[選] 電子材料:川崎:遠隔,[選] 化学特論:小松:遠隔,[選] ソフトウェア工学基礎:藤原:遠隔,[選] データ工学:竹島:遠隔
__:__:__,[選] 機構学:熊谷(和):対面 (5-102 11-202),融合型PBL:複数教員:対面 (複数教室),融合型PBL:複数教員:対面 (複数教室),[選] フランス語:SARDE:対面 (2-102)
[選] 総合英語Ⅰ:ワーナージェシー:遠隔,フーリエ解析:長谷部:遠隔,[選] 情報理論:岡本:遠隔,[選] ネットワーク理論:千葉 菅野:遠隔
__:__:__,[選] 健康とスポーツ:兼村:対面 (体育館等),[選] 電子機器設計基礎:末永:対面 (11-202 5-102),電磁気学:柏葉:対面 (11-301),第Ⅰ類実験Ⅰ:複数教員:対面
