__:__:__,マイクロコンピュータ基礎:大場 末永:対面 (11-202 8-401),保健体育Ⅲ:兼村 東畑:対面 (体育館等),プログラミング:奥村:対面 (5-102 11-103)
物理Ⅲ:松枝 佐久間 園田:遠隔,微分積分Ⅱ:下田:遠隔,コンピュータシステム基礎:菅野:遠隔
ネットワーク基礎:小林:遠隔,英語ＢⅢ:矢澤:遠隔,微分積分Ⅱ:下田:遠隔
__:__:__,__:__:__,第Ⅰ類基礎実験:矢島 白根:対面 (3-103 3-109 3-412 3-414),プログラミング:奥村:対面 (5-102 8-401),HR:__:対面 (教室等)
英語ＡⅢ:久保田:遠隔,ネットワーク基礎:小林:遠隔,国語Ⅲ:武田:遠隔,__:__:__,電気回路:馬場 川崎:遠隔(オンデマンド)
